scenario,spacecraft_id,timestamp,sample,elapsed_seconds,channel_id,subsystem,unit,value,status,quality,seed
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,eps.battery_voltage,eps,V,30.63,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,eps.solar_array_current,eps,A,8.44,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,thermal.avionics_temp,thermal,degC,24.7,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,thermal.radiator_temp,thermal,degC,-10.0,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,adcs.reaction_wheel_x_rpm,adcs,rpm,-227.0,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,adcs.bus_quaternion_error_deg,adcs,deg,0.156,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,comms.downlink_snr_db,comms,dB,11.5,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,comms.packet_error_rate_pct,comms,pct,0.17,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,prop.tank_pressure_kpa,prop,kPa,2112.5,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:00Z,0,0,payload.imager_temp,payload,degC,18.3,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,eps.battery_voltage,eps,V,30.35,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,eps.solar_array_current,eps,A,7.76,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,thermal.avionics_temp,thermal,degC,28.4,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,thermal.radiator_temp,thermal,degC,-6.3,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,adcs.reaction_wheel_x_rpm,adcs,rpm,242.0,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,adcs.bus_quaternion_error_deg,adcs,deg,0.163,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,comms.downlink_snr_db,comms,dB,12.0,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,comms.packet_error_rate_pct,comms,pct,0.18,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,prop.tank_pressure_kpa,prop,kPa,2100.5,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:10Z,1,10,payload.imager_temp,payload,degC,18.2,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,eps.battery_voltage,eps,V,29.64,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,eps.solar_array_current,eps,A,7.22,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,thermal.avionics_temp,thermal,degC,32.9,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,thermal.radiator_temp,thermal,degC,0.3,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,adcs.reaction_wheel_x_rpm,adcs,rpm,927.0,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,adcs.bus_quaternion_error_deg,adcs,deg,0.169,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,comms.downlink_snr_db,comms,dB,12.6,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,comms.packet_error_rate_pct,comms,pct,0.35,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,prop.tank_pressure_kpa,prop,kPa,2074.2,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:20Z,2,20,payload.imager_temp,payload,degC,17.6,nominal,valid,4242
degraded-eclipse-thermal-comms,tf-sat-01,2026-04-30T16:00:30Z,3,30,eps.battery_voltage,eps,V,28.86,nominal,valid,4242
