scenario,spacecraft_id,timestamp,sample,elapsed_seconds,channel_id,subsystem,unit,value,status,quality,seed
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,eps.battery_voltage,eps,V,30.63,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,eps.solar_array_current,eps,A,8.44,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,thermal.avionics_temp,thermal,degC,24.7,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,thermal.radiator_temp,thermal,degC,-10.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,adcs.reaction_wheel_x_rpm,adcs,rpm,-227.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,adcs.bus_quaternion_error_deg,adcs,deg,0.156,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,comms.downlink_snr_db,comms,dB,11.5,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,comms.packet_error_rate_pct,comms,pct,0.17,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,prop.tank_pressure_kpa,prop,kPa,2112.5,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:00Z,0,0,payload.imager_temp,payload,degC,18.3,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,eps.battery_voltage,eps,V,30.47,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,eps.solar_array_current,eps,A,7.88,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,thermal.avionics_temp,thermal,degC,27.6,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,thermal.radiator_temp,thermal,degC,-7.2,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,adcs.reaction_wheel_x_rpm,adcs,rpm,165.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,adcs.bus_quaternion_error_deg,adcs,deg,0.159,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,comms.downlink_snr_db,comms,dB,12.2,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,comms.packet_error_rate_pct,comms,pct,0.12,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,prop.tank_pressure_kpa,prop,kPa,2100.5,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:10Z,1,10,payload.imager_temp,payload,degC,18.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,eps.battery_voltage,eps,V,30.05,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,eps.solar_array_current,eps,A,7.64,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,thermal.avionics_temp,thermal,degC,30.1,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,thermal.radiator_temp,thermal,degC,-2.8,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,adcs.reaction_wheel_x_rpm,adcs,rpm,685.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,adcs.bus_quaternion_error_deg,adcs,deg,0.154,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,comms.downlink_snr_db,comms,dB,13.4,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,comms.packet_error_rate_pct,comms,pct,0.12,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,prop.tank_pressure_kpa,prop,kPa,2074.2,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:20Z,2,20,payload.imager_temp,payload,degC,16.4,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,eps.battery_voltage,eps,V,29.65,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,eps.solar_array_current,eps,A,7.46,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,thermal.avionics_temp,thermal,degC,32.7,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,thermal.radiator_temp,thermal,degC,0.6,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,adcs.reaction_wheel_x_rpm,adcs,rpm,1062.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,adcs.bus_quaternion_error_deg,adcs,deg,0.136,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,comms.downlink_snr_db,comms,dB,14.7,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,comms.packet_error_rate_pct,comms,pct,0.13,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,prop.tank_pressure_kpa,prop,kPa,2043.1,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:30Z,3,30,payload.imager_temp,payload,degC,14.3,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,eps.battery_voltage,eps,V,29.18,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,eps.solar_array_current,eps,A,7.52,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,thermal.avionics_temp,thermal,degC,35.3,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,thermal.radiator_temp,thermal,degC,4.7,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,adcs.reaction_wheel_x_rpm,adcs,rpm,1270.0,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,adcs.bus_quaternion_error_deg,adcs,deg,0.114,nominal,valid,4242
nominal-orbit-daylight,tf-sat-01,2026-04-30T16:00:40Z,4,40,comms.downlink_snr_db,comms,dB,15.4,nominal,valid,4242
